# frame  time_ps  oxide_zmin_A  oxide_zmax_A  oxide_thickness_A  oxide_top_roughness_A  penetration_max_A  penetration_mean_pos_A  penetration_fraction_gt_2.00A  llzo_center_z_A  metal_center_z_A  center_sep_z_A  Li_metal-La  Li_metal-Zr  Li_metal-O  RMSD_framework_all_A  RMSD_Li_metal_A  RMSD_Li_oxide_A  RMSD_La_A  RMSD_Zr_A  RMSD_O_A  MSD_framework_all_A2  MSD_Li_metal_A2  MSD_Li_oxide_A2  MSD_La_A2  MSD_Zr_A2  MSD_O_A2  CN_Li_metal-O  CN_Li_metal-Li_oxide  CN_Li_oxide-O
230.00000000 11.50000000 73.11020433 155.73275409 82.62254977 3.76390154 0.00000000 0.00000000 0.00000000 53.80415731 132.12305538 78.31889806 3.34855291 3.01579866 1.98373207 0.30788810 0.47887629 0.54394577 0.31535088 0.28588371 0.30953176 0.09479508 0.22932250 0.29587700 0.09944618 0.08172950 0.09580991 0.00426439 0.10660981 1.79159370
240.00000000 12.00000000 72.99065736 155.85230106 82.86164370 3.73229478 0.00000000 0.00000000 0.00000000 53.83932545 132.16042200 78.32109656 3.18658965 3.02856888 1.98410181 0.27126521 0.55521449 0.55299117 0.29753066 0.24189638 0.26900134 0.07358481 0.30826313 0.30579923 0.08852450 0.05851386 0.07236172 0.00426439 0.09808102 1.78283713
250.00000000 12.50000000 72.97447742 155.86848100 82.89400358 3.78761626 0.00000000 0.00000000 0.00000000 53.84843759 132.15375842 78.30532083 3.32960794 3.06033583 1.84118683 0.22129396 0.51128665 0.54907113 0.26177645 0.16427308 0.21850920 0.04897102 0.26141404 0.30147910 0.06852691 0.02698564 0.04774627 0.00852878 0.10874200 1.79509632
260.00000000 13.00000000 73.00596572 155.83699270 82.83102698 3.75185754 0.04879376 0.04879376 0.00000000 53.85142235 132.10690950 78.25548716 3.29377767 2.97703852 1.86534566 0.18423642 0.53368675 0.55647393 0.23299003 0.12477468 0.17866204 0.03394306 0.28482155 0.30966324 0.05428436 0.01556872 0.03192012 0.00852878 0.11727079 1.78108581
270.00000000 13.50000000 73.01526588 155.82769254 82.81242667 3.75968384 0.27765028 0.27765028 0.00000000 53.84977090 132.13310601 78.28333510 3.34406737 3.02888248 1.87989086 0.18177807 0.58281352 0.56183326 0.24106464 0.11342017 0.17360654 0.03304327 0.33967159 0.31565662 0.05811216 0.01286413 0.03013923 0.00852878 0.11087420 1.76707531
280.00000000 14.00000000 72.97085339 155.87210503 82.90125163 3.75000527 0.39115166 0.39115166 0.00000000 53.84203410 132.14061059 78.29857649 3.33731342 2.85547786 1.93482402 0.18221354 0.74930014 0.58357369 0.23802444 0.11885391 0.17469277 0.03320177 0.56145070 0.34055825 0.05665563 0.01412625 0.03051756 0.00852878 0.11513859 1.78984238
290.00000000 14.50000000 73.10795298 155.73500544 82.62705246 3.72290791 0.13890522 0.13890522 0.00000000 53.81785109 132.08942425 78.27157316 3.26115658 2.90383401 1.91095641 0.18232133 0.83907046 0.55936535 0.24166862 0.11998496 0.17346811 0.03324107 0.70403923 0.31288960 0.05840372 0.01439639 0.03009118 0.00852878 0.11087420 1.79334501
300.00000000 15.00000000 73.03841573 155.80454269 82.76612695 3.74240374 0.60483029 0.60483029 0.00000000 53.82683208 132.15332818 78.32649609 3.34530269 2.89085206 1.82428782 0.21667964 0.90729784 0.56698163 0.28635299 0.15581187 0.20485815 0.04695007 0.82318936 0.32146816 0.08199804 0.02427734 0.04196686 0.01066098 0.11087420 1.77408056
310.00000000 15.50000000 73.04880877 155.79414965 82.74534087 3.74736043 0.88617474 0.88617474 0.00000000 53.84053392 132.08620265 78.24566873 3.26545580 2.93583568 1.79156227 0.22014307 0.92442714 0.57432870 0.28663622 0.17512738 0.20737452 0.04846297 0.85456554 0.32985346 0.08216032 0.03066960 0.04300419 0.01066098 0.11087420 1.79684764
320.00000000 16.00000000 72.97671546 155.86624296 82.88952750 3.73906195 1.03991817 1.03991817 0.00000000 53.83418240 132.14797527 78.31379287 3.23361319 2.73830634 1.85222132 0.22978011 0.93198396 0.56862048 0.29167305 0.17354545 0.22025094 0.05279890 0.86859409 0.32332925 0.08507317 0.03011802 0.04851048 0.01279318 0.11727079 1.78809107
