# z_A  Li  La  Zr  O  Li_metal_tracked
152.75267475 0.02624801 0.01443010 0.00000000 0.04806431 0.00000000
153.89688954 0.01075502 0.00007206 0.02889623 0.03273345 0.00000000
155.04110433 0.03617434 0.01439407 0.00000000 0.06290876 0.00671964
156.18531912 0.05386517 0.00720604 0.00000000 0.00515232 0.01273668
157.32953391 0.03965125 0.00000000 0.00000000 0.00000000 0.01570917
158.47374871 0.04172299 0.00000000 0.00000000 0.00000000 0.03977736
159.61796350 0.07605979 0.00000000 0.00000000 0.00000000 0.07193433
160.76217829 0.02129386 0.00000000 0.00000000 0.00000000 0.02129386
161.90639308 0.09675915 0.00000000 0.00000000 0.00000000 0.09675915
163.05060787 0.00623323 0.00000000 0.00000000 0.00000000 0.00623323
164.19482267 0.10953186 0.00000000 0.00000000 0.00000000 0.10953186
165.33903746 0.00275631 0.00000000 0.00000000 0.00000000 0.00275631
166.48325225 0.11221611 0.00000000 0.00000000 0.00000000 0.11221611
167.62746704 0.00286440 0.00000000 0.00000000 0.00000000 0.00286440
168.77168183 0.10915354 0.00000000 0.00000000 0.00000000 0.10915354
169.91589663 0.00635933 0.00000000 0.00000000 0.00000000 0.00635933
171.06011142 0.10097468 0.00000000 0.00000000 0.00000000 0.10097468
172.20432621 0.01461025 0.00000000 0.00000000 0.00000000 0.01461025
173.34854100 0.08544566 0.00000000 0.00000000 0.00000000 0.08544566
174.49275580 0.03013928 0.00000000 0.00000000 0.00000000 0.03013928
175.63697059 0.06424188 0.00000000 0.00000000 0.00000000 0.06424188
176.78118538 0.05134306 0.00000000 0.00000000 0.00000000 0.05134306
177.92540017 0.04035384 0.00000000 0.00000000 0.00000000 0.04035384
179.06961496 0.07523109 0.00000000 0.00000000 0.00000000 0.07523109
180.21382976 0.02053722 0.00000000 0.00000000 0.00000000 0.02053722
181.35804455 0.09504771 0.00000000 0.00000000 0.00000000 0.09504771
182.50225934 0.00735016 0.00000000 0.00000000 0.00000000 0.00735016
183.64647413 0.10823477 0.00000000 0.00000000 0.00000000 0.10823477
184.79068892 0.00120701 0.00000000 0.00000000 0.00000000 0.00120701
185.93490372 0.11437792 0.00000000 0.00000000 0.00000000 0.11437792
187.07911851 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
188.22333330 0.11558493 0.00000000 0.00000000 0.00000000 0.11558493
189.36754809 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
190.51176288 0.11558493 0.00000000 0.00000000 0.00000000 0.11558493
191.65597768 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
192.80019247 0.11558493 0.00000000 0.00000000 0.00000000 0.11558493
193.94440726 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
195.08862205 0.11558493 0.00000000 0.00000000 0.00000000 0.11558493
196.23283685 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
197.37705164 0.11558493 0.00000000 0.00000000 0.00000000 0.11558493
198.52126643 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
199.66548122 0.11201794 0.00000000 0.00000000 0.00000000 0.11201794
200.80969601 0.00356699 0.00000000 0.00000000 0.00000000 0.00356699
201.95391081 0.05377510 0.00000000 0.00000000 0.00000000 0.05377510
203.09812560 0.06180984 0.00000000 0.00000000 0.00000000 0.06180984
204.24234039 0.00174747 0.00000000 0.00000000 0.00000000 0.00174747
205.38655518 0.11383747 0.00000000 0.00000000 0.00000000 0.11383747
206.53076997 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
207.67498477 0.11558493 0.00000000 0.00000000 0.00000000 0.11558493
208.81919956 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
209.96341435 0.11558493 0.00000000 0.00000000 0.00000000 0.11558493
211.10762914 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
212.25184393 0.11558493 0.00000000 0.00000000 0.00000000 0.11558493
213.39605873 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
214.54027352 0.11558493 0.00000000 0.00000000 0.00000000 0.11558493
215.68448831 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
216.82870310 0.11558493 0.00000000 0.00000000 0.00000000 0.11558493
217.97291790 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
219.11713269 0.11435991 0.00000000 0.00000000 0.00000000 0.11435991
220.26134748 0.00122503 0.00000000 0.00000000 0.00000000 0.00122503
221.40556227 0.06962839 0.00000000 0.00000000 0.00000000 0.06962839
222.54977706 0.04595654 0.00000000 0.00000000 0.00000000 0.04595654
223.69399186 0.04592051 0.00000000 0.00000000 0.00000000 0.04592051
224.83820665 0.06966442 0.00000000 0.00000000 0.00000000 0.06966442
225.98242144 0.00911564 0.00000000 0.00000000 0.00000000 0.00911564
227.12663623 0.10646929 0.00000000 0.00000000 0.00000000 0.10646929
228.27085102 0.00014412 0.00000000 0.00000000 0.00000000 0.00000000
